cuces,total_adjudicado,total_recepcionado,total_referencial
20-0148-00-1101272-1-1,,114000,130000
20-0148-00-1101274-1-1,,910817.25,1120000
20-0148-00-1101276-1-1,,494000,500000
20-0148-00-1101280-1-1,,59000,80000
20-0148-00-1101305-1-1,,49897,51542
20-0148-00-1101306-1-1,,131000,145000
20-0148-00-1101308-1-1,,66850,68500
20-0148-00-1101311-1-1,,185890,201150
20-0148-00-1101315-1-1,,375000,375000
20-0169-00-1091916-1-1,144000,144000,168000
20-0170-00-1037798-0-E,48000,48000,
20-0170-00-1040183-0-E,46200,46200,
20-0170-00-1040187-0-E,42000,42000,
20-0170-00-1043762-0-E,45000,45000,
20-0170-00-1052641-0-E,35100,35100,
20-0203-00-1040738-0-E,38270,38270,
20-0203-00-1059696-1-1,17686,17686,72150
20-0206-00-1047138-0-E,21248,21248,
20-0206-00-1092473-1-1,,47825,49850
20-0206-00-1092655-1-1,,37960,40780
20-0206-00-1092715-1-1,,31845,49800
20-0207-04-1052065-0-E,31500,31500,
20-0207-04-1052090-0-E,26040,26040,
20-0224-00-1044171-0-E,193401,193401,
20-0224-00-1044176-0-E,193401,193401,
20-0224-00-1046551-0-E,193401,193401,
20-0224-00-1047386-0-E,193401,193401,
20-0234-00-1042979-0-E,21290.06,21290.06,
20-0249-00-1037836-0-E,36000,36000,
20-0249-00-1051999-0-E,124080,124080,
20-0249-00-1094489-1-1,,200000,200000
20-0283-15-1043368-0-E,32424,32424,
20-0283-15-1050178-0-E,27500,27500,
20-0310-00-1042785-0-E,22275,22275,
20-0313-00-1042877-0-E,48570,48570,
20-0313-00-1042888-0-E,49990,49990,
20-0342-00-1048145-0-E,22950,22950,
20-0374-00-1047368-0-E,49928,49928,
20-0378-00-1045510-0-E,22754,22754,
20-0382-00-1038880-0-E,22529285.459999997,,
20-0382-00-1040167-0-E,14619600,14619600,
20-0382-00-1040822-0-E,360000,,
20-0382-00-1052155-0-E,42300,42300,
20-0382-00-1052802-1-1,5595000,5595000,24817500
20-0382-00-1071959-1-1,27000,27000,28000
20-0382-00-1084448-1-1,,48703,49996
20-0385-00-1093045-1-1,67190,67190,89410
20-0385-00-1095682-1-1,,43000,48550
20-0411-00-1042017-0-E,206250,206250,
20-0411-00-1042656-0-E,120000,120000,
20-0411-00-1052113-0-E,1343968,,
20-0411-00-1057392-1-1,773271.3,773271.3,1331014.2
20-0411-00-1064622-1-1,260000,260000,260000
20-0411-00-1075964-1-1,,42000,42000
20-0411-00-1076387-1-1,,274600,298400
20-0411-00-1076866-1-1,,9500000,9500000
20-0411-00-1077215-1-1,,402690,402690
20-0411-00-1077771-1-2,590640,649704,900000
20-0411-00-1080395-1-1,,114675,148500
20-0411-00-1081874-1-1,,110963,118400
