cuces,total_adjudicado,total_recepcionado,total_referencial
20-0902-00-1041974-0-E,1125894,1125894,
20-0902-00-1042169-0-E,2103492.2,2103492.2,
20-0902-00-1042398-0-E,409280,409280,
20-0902-00-1044561-0-E,486729,486729,
20-0902-00-1048895-0-E,44780,44780,
20-0902-00-1049076-1-1,1340000,1340000,1400000
20-0902-00-1066970-1-1,1620000,1620000,2100000
20-0902-00-1094259-1-1,,32250,46950
20-0902-01-1041271-1-1,180236,180236,180236
20-0902-01-1043414-0-E,50000,50000,
20-0902-01-1043419-0-E,50000,50000,
20-0902-01-1044182-0-E,49993.6,49993.6,
20-0902-01-1044190-0-E,39245,39245,
20-0902-01-1044196-0-E,49764,49764,
20-0902-01-1045065-0-E,27398,27398,
20-0902-01-1045176-0-E,198220,198220,
20-0902-01-1045356-0-E,49992,,
20-0902-01-1045684-0-E,49000,49000,
20-0902-01-1045736-0-E,49978.07,49978.07,
20-0902-01-1045747-0-E,30240,30240,
20-0902-01-1046693-1-1,173160,173160,199800
20-0902-01-1046764-0-E,50000,50000,
20-0902-01-1046772-0-E,49920,49920,
20-0902-01-1046841-1-1,156000,156000,200000
20-0902-01-1046845-1-1,179550,179550,199500
20-0902-01-1046848-1-1,166600,166600,199979.5
20-0902-01-1046850-1-1,199500,199500,199500
20-0902-01-1047054-0-E,42478.6,42478.6,
20-0902-01-1047261-0-E,49875,49875,
20-0902-01-1047265-0-E,49970,49970,
20-0902-01-1047694-0-E,49980,49980,
20-0902-01-1047718-0-E,49950,49950,
20-0902-01-1048959-0-E,47600,47600,
20-0902-01-1052116-0-E,49950,49950,
20-0902-01-1052690-0-E,29880,29880,
20-0902-01-1052699-0-E,33250,33250,
20-0902-01-1059920-1-2,243000,243000,270000
20-0902-01-1059941-2-1,486000,486000,486000
20-0902-01-1061490-2-1,486000,486000,486000
20-0902-01-1078065-1-1,770000,770000,980000
20-0902-01-1088650-1-1,728000,728000,980000
20-0902-01-1091758-1-1,600000,600000,840000
20-0902-04-1081738-1-1,,21751,21754
20-0902-06-1044852-0-E,20700,20700,
20-0902-07-1048417-0-E,49375,49375,
20-0902-07-1050507-0-E,48000,48000,
20-0902-07-1061669-1-1,66784,66784,67200
20-0902-07-1063870-1-1,161770,149050,165700
20-0902-07-1072726-1-1,,44560,47955
20-0902-07-1087078-1-1,,33138,41894
20-0902-07-1091660-1-1,,33659,49504
20-0902-21-1037756-0-E,40000,40000,
20-0902-21-1037792-0-E,49500,49500,
20-0902-21-1037795-0-E,48000,48000,
20-0902-21-1041447-0-E,44000,44000,
20-0902-21-1046208-0-E,49412,49412,
20-0902-21-1046215-0-E,49250,49250,
20-0902-21-1046784-0-E,23552,23552,
20-0902-21-1081660-1-1,,20964.52,20964.52
20-0902-21-1096655-1-1,,29205,49500
20-0902-39-1039381-0-E,32650,32650,
20-0902-39-1039634-0-E,32000,32000,
20-0902-39-1043071-0-E,21550,21550,
20-0902-39-1046349-1-1,127200,127200,140000
20-0902-39-1049455-0-E,43750,43750,
20-0902-39-1097233-1-1,,36000,36000
20-0902-40-1037922-0-E,40000,40000,
20-0902-40-1040825-0-E,22400,22400,
20-0902-40-1042339-0-E,24150,24150,
20-0902-40-1043043-1-1,145000,145000,200000
20-0902-40-1045866-1-1,313500,313500,385000
20-0902-40-1047031-2-1,174515,174515,181225
20-0902-40-1048583-0-E,45180,45180,
20-0902-40-1048595-0-E,45180,45180,
20-0902-40-1054503-1-1,55150,121650,323000
20-0902-40-1081887-1-1,,45000,45000
20-0902-40-1098243-1-1,,45000,45000
20-0902-40-1099465-1-1,,45000,45000
20-0902-40-1099471-1-1,,45000,45000
20-0902-40-1099475-1-1,,45000,45000
20-0902-40-1099586-1-1,,30000,30000
20-0902-41-1042152-0-E,42570,42570,
20-0902-41-1095583-1-1,544250,544250,544250
20-0902-42-1032817-0-E,41989.8,41989.8,
20-0902-42-1038435-0-E,36950.4,36950.4,
20-0902-42-1038612-0-E,36511.5,36511.5,
20-0902-42-1039332-0-E,28000,,
20-0902-42-1088572-1-1,,27000,43000
20-0902-43-1037699-0-E,50000,50000,
20-0902-43-1038376-1-2,577772,577772,799992
20-0902-43-1038906-0-E,44812.8,44812.8,
20-0902-43-1039386-1-1,199816.7,199816.7,199950
20-0902-43-1039587-0-E,35365.5,35365.5,
20-0902-43-1039600-0-E,29864,29864,
20-0902-43-1039821-0-E,42338.7,42338.7,
20-0902-43-1041459-0-E,34305,34305,
20-0902-43-1044746-0-E,40362.92,40362.92,
20-0902-43-1046142-0-E,50000,50000,
20-0902-43-1046648-0-E,49999.2,49999.2,
20-0902-43-1047092-0-E,43890,43890,
20-0902-43-1047660-0-E,45830,45830,
20-0902-43-1048236-0-E,48608,48608,
20-0902-43-1048505-0-E,37480.24,37480.24,
20-0902-43-1048889-0-E,22995,22995,
20-0902-43-1050511-0-E,28900,28900,
20-0902-43-1050601-0-E,21250,21250,
20-0902-43-1050915-0-E,49973,49973,
20-0902-43-1051346-0-E,31235.5,31235.5,
20-0902-43-1070970-1-3,109800,109800,200000
20-0902-43-1078718-1-1,,47817,49990.5
20-0902-43-1097098-1-1,,49904.1,49995
20-0902-44-1046068-1-1,114000,,114000
20-0902-44-1046092-1-1,60000,,60000
20-0902-44-1048232-1-1,120000,,120000
20-0902-44-1048618-1-1,196000,,196000
20-0903-00-1030531-2-1,156643.8,156643.8,179640
20-0903-00-1038282-0-E,55800,55800,
20-0903-00-1038467-0-E,961354,961354,
20-0903-00-1038476-0-E,30000,30000,
20-0903-00-1038497-0-E,195019.5,195019.5,
20-0903-00-1038831-0-E,49950,49950,
20-0903-00-1039234-0-E,366522,366522,
20-0903-00-1039237-0-E,73264,73264,
20-0903-00-1039241-0-E,100200,100200,
20-0903-00-1039247-0-E,174864,174864,
20-0903-00-1039251-0-E,372510,372510,
20-0903-00-1039254-0-E,90000,90000,
20-0903-00-1039258-0-E,50400,50400,
20-0903-00-1039541-0-E,23685.6,23685.6,
20-0903-00-1039596-0-E,43440,43440,
20-0903-00-1039627-0-E,283990,283990,
20-0903-00-1040061-0-E,1200000,1200000,
20-0903-00-1040406-0-E,350000,350000,
20-0903-00-1040530-0-E,999250,999250,
20-0903-00-1040963-0-E,760000,,
20-0903-00-1040985-0-E,105800,105800,
20-0903-00-1041020-0-E,50660,50660,
20-0903-00-1041033-0-E,760000,,
20-0903-00-1041057-0-E,160000,160000,
20-0903-00-1041236-0-E,507400,507400,
20-0903-00-1041331-0-E,126881,126881,
20-0903-00-1041380-0-E,82800,82800,
20-0903-00-1041385-0-E,63440.4,63440.4,
20-0903-00-1041389-0-E,79515,79515,
20-0903-00-1041403-0-E,45759,45759,
20-0903-00-1041406-0-E,56000,56000,
20-0903-00-1041409-0-E,68700,68700,
20-0903-00-1041412-0-E,103155,103155,
20-0903-00-1042447-0-E,84250,84250,
20-0903-00-1042769-0-E,29750,29750,
20-0903-00-1042866-0-E,39000,39000,
20-0903-00-1043526-0-E,125000,,
20-0903-00-1043530-0-E,77256,,
20-0903-00-1043531-0-E,55000,,
20-0903-00-1047513-0-E,73780,73780,
20-0903-00-1047607-0-E,48300,48300,
20-0903-00-1047642-0-E,27500,27500,
20-0903-00-1049565-0-E,877468,877468,
20-0903-00-1051535-1-2,410111,410111,620333
20-0903-00-1052136-0-E,17800,17800,
20-0903-00-1053946-1-1,61200,61200,61200
20-0903-00-1060397-1-1,115000,115000,115000
20-0903-00-1067074-1-1,60306,60306,110400
20-0903-00-1069425-1-1,23145.08,23145.08,86942.3
20-0903-00-1072657-1-1,873500,873500,873500
20-0903-00-1072659-1-1,260000,260000,270000
20-0903-00-1072660-1-1,535761,,694576
20-0903-00-1072868-2-1,228150,228150,288977
20-0903-00-1073257-1-1,61500,61500,65000
20-0903-00-1073439-1-1,245000,245000,250000
20-0903-00-1079578-1-1,,49084,49084
20-0903-00-1079919-1-1,,36500,37584
20-0903-00-1080828-1-1,,49920,49920
20-0903-00-1081943-1-1,,42500,42500
20-0903-00-1083204-1-1,,39988,39988
20-0903-00-1083461-1-1,42241.05,42241.05,143190
20-0903-00-1084473-1-1,97400,97400,97400
20-0903-00-1088302-1-1,,46170,48600
20-0903-00-1088310-1-1,158480,158480,196570
20-0903-00-1088395-1-1,,18662.4,25200
20-0903-00-1089411-1-1,145000,145000,145000
20-0903-00-1090118-1-1,,48000,48000
20-0903-00-1091137-1-1,,143100,143100
20-0903-00-1091797-1-1,,33360,33600
20-0903-00-1091959-1-1,,150000,150000
20-0903-00-1092250-1-1,,47170,49840
20-0903-00-1092520-1-1,,45890,45900
20-0903-00-1092931-1-1,35900,35900,111454
20-0903-00-1093932-1-1,,42000,42000
20-0903-00-1093983-1-1,,27000,27000
20-0903-00-1094680-1-1,,37575,49880
20-0903-00-1095100-1-1,,27433,49741
20-0903-00-1095121-1-1,,25386,46176
20-0903-00-1095133-1-1,,49271,49300
20-0903-00-1095561-1-1,,1823300,1831650
20-0903-00-1095672-1-1,,1227500,1227500
20-0903-00-1095718-1-1,,2565063.52,2580424.22
20-0903-00-1096340-1-1,,77000,77000
20-0903-02-1041291-0-E,2999996.3,,
20-0903-02-1041301-0-E,2999974.25,,
20-0903-02-1052318-0-E,49900,,
20-0903-02-1052328-0-E,43413,3992,
20-0903-02-1075150-1-1,,20930,28750
20-0903-02-1080592-1-1,,18687.5,28750
20-0903-02-1088270-1-1,,13052.5,28750
20-0903-02-1093901-1-1,,9200,28750
20-0903-13-1042824-1-1,61000,61000,61000
20-0903-13-1048855-0-E,48800,48800,
20-0903-13-1049747-1-1,118950,118950,118950
20-0904-00-1041312-0-E,24800,24800,
20-0904-04-1040013-0-E,231900,231900,
20-0905-00-1038247-0-E,83250,83250,
20-0905-00-1038308-0-E,41800,41800,
20-0905-00-1038618-0-E,44340,44340,
20-0905-00-1039155-0-E,33091,33091,
20-0905-00-1039159-0-E,35100,35100,
20-0905-00-1040122-0-E,28000,28000,
20-0905-00-1040861-0-E,49954.8,49954.8,
20-0905-00-1041142-1-1,249000,249000,249000
20-0905-00-1042063-0-E,27500,27500,
20-0905-00-1043259-0-E,50000,50000,
20-0905-00-1043488-0-E,352263,352263,
20-0905-00-1043616-0-E,65000,,
20-0905-00-1043706-0-E,163760,,
20-0905-00-1044996-0-E,48600,,
20-0905-00-1045025-0-E,27710,,
20-0905-00-1045090-0-E,36000,,
20-0905-00-1045239-0-E,514583.67,514583.67,
20-0905-00-1045398-0-E,41800,41800,
20-0905-00-1046037-0-E,49954.8,49954.8,
20-0905-00-1046872-0-E,37000,37000,
20-0905-00-1047061-0-E,135000,135000,
20-0905-00-1048245-0-E,50000,50000,
20-0905-00-1049027-0-E,152483.5,152483.5,
20-0905-00-1050287-0-E,329294,,
20-0905-00-1050320-0-E,275184,,
20-0905-00-1089927-1-1,,41708.229999999996,41708.229999999996
20-0905-01-1049560-0-E,17659,17659,
20-0905-01-1054641-1-2,16210,9401.8,81050
20-0905-06-1051815-0-E,25440,,
20-0906-00-1038567-0-E,256800,256800,
20-0906-00-1038935-0-E,554400,554400,
20-0906-00-1039590-0-E,431100,431100,
20-0906-00-1039738-0-E,800000,800000,
20-0906-00-1041207-0-E,143500,143500,
20-0906-00-1041212-0-E,36740,36740,
20-0906-00-1041229-0-E,437500,437500,
20-0906-00-1041232-0-E,225000,225000,
20-0906-00-1041376-0-E,482500,482500,
20-0906-00-1042662-0-E,522000,522000,
20-0906-00-1043866-0-E,621566,,
20-0906-00-1043874-0-E,944160,944160,
20-0906-00-1044247-0-E,49400,49400,
20-0906-00-1044677-0-E,4613961.44,4613961.44,
20-0906-00-1046824-0-E,850000,850000,
20-0906-00-1048282-0-E,425000,425000,
20-0906-00-1074870-1-1,,100000,150000
20-0906-00-1074892-1-1,,40000,60000
20-0906-00-1076523-1-1,91000,91000,842400
20-0906-00-1076530-1-1,82980,82980,923390
20-0906-00-1079395-1-1,,249000,249000
20-0906-00-1081941-1-1,,420000,420000
20-0906-00-1087352-1-1,,247140,247140
20-0906-00-1094572-1-1,,113500,113700
20-0906-00-1097413-1-1,,639300,646200
20-0906-03-1035409-1-1,222976,222976,299945.6
20-0906-03-1037723-0-E,49944.3,49944.3,
20-0906-03-1038141-0-E,44268,44268,
20-0906-03-1038819-0-E,44760,44760,
20-0906-03-1038824-0-E,44760,44760,
20-0906-03-1039275-0-E,44250,44250,
20-0906-03-1040639-1-1,188540,188540,299950
20-0906-03-1040726-0-E,40000,40000,
20-0906-03-1041187-0-E,27200,27200,
20-0906-03-1041863-0-E,40500,40500,
20-0906-03-1042364-0-E,45000,45000,
20-0906-03-1047134-0-E,40645,40645,
20-0906-03-1047401-0-E,49545,49545,
20-0906-03-1047604-0-E,37560,37560,
20-0906-03-1047830-0-E,23220,23220,
20-0906-03-1048681-0-E,28000,28000,
20-0906-03-1048883-0-E,40500,40500,
20-0906-03-1049077-0-E,22000,22000,
20-0906-03-1049145-0-E,39600,39600,
20-0906-03-1050992-0-E,42000,42000,
20-0906-03-1051548-0-E,46520.8,46520.8,
20-0906-03-1082705-1-1,176460,176460,299982
20-0906-03-1093941-1-1,147648,147648,199940
20-0906-03-1101338-1-1,,50000,50000
20-0906-28-1080705-1-1,134623.5,134623.5,146862
20-0906-29-1080041-1-1,,47176,49880
20-0906-29-1082373-1-2,169600,169600,192340
20-0906-29-1082439-2-1,179408,179408,191640
20-0906-29-1082503-1-1,,49132,49305
20-0906-29-1083601-1-1,275580,275580,291460
20-0906-29-1089726-1-1,95381.1,,99080
20-0906-34-1086082-1-1,,16230,29660
20-0907-00-1036360-0-E,49500,49500,
20-0907-00-1058417-1-1,275000,275000,300000
20-0907-00-1058499-1-1,275000,275000,300000
20-0907-00-1084093-1-1,5408111.4,5408111.4,5693028
20-0907-00-1097135-1-1,198050,198050,198900
20-0908-00-1039113-0-E,49986,49986,
20-0908-00-1039160-0-E,44800,44800,
20-0908-00-1039245-0-E,49896,49896,
20-0908-00-1039376-0-E,24300,24300,
20-0908-00-1043619-0-E,135000,135000,
20-0908-00-1046937-0-E,60000,60000,
20-0908-00-1046956-0-E,27000,27000,
20-0908-00-1047018-0-E,20000,20000,
20-0908-00-1047029-0-E,25000,25000,
20-0908-00-1047150-0-E,50000,50000,
20-0908-00-1047515-0-E,48000,48000,
20-0908-00-1047624-0-E,60000,,
20-0908-00-1047627-0-E,96000,96000,
20-0908-00-1047629-0-E,120000,,
20-0908-00-1047630-0-E,120000,,
20-0908-00-1047631-0-E,105000,105000,
20-0908-00-1047632-0-E,80000,80000,
20-0908-00-1047633-0-E,63600,63600,
20-0908-00-1047634-0-E,25000,25000,
20-0908-00-1047635-0-E,26000,26000,
20-0908-00-1047662-0-E,109000,,
20-0908-00-1047672-0-E,44000,44000,
20-0908-36-1049447-0-E,43120,43120,
20-0908-36-1049457-0-E,39159.259999999995,39159.259999999995,
20-0908-36-1075749-1-1,336570.2,,498320
20-0909-00-1038624-0-E,50000,50000,
20-0909-00-1038632-0-E,600000,600000,
20-0909-00-1039136-0-E,76240,76240,
20-0909-00-1039313-0-E,42500,42500,
20-0909-00-1049921-0-E,59400,59400,
20-0909-00-1049930-0-E,400000,400000,
20-0909-00-1049947-0-E,93400,93400,
20-0909-00-1050319-0-E,82400,82400,
20-0909-00-1050351-0-E,38280,38280,
20-0909-00-1050461-0-E,40000,40000,
20-0909-00-1051150-0-E,81200,81200,
20-0909-00-1051256-0-E,255471.05,255471.05,
20-0909-00-1052520-0-E,87000,87000,
20-0909-02-1082715-1-1,,53344.5,68211
20-1101-00-1048958-0-E,49961,49961,
20-1101-00-1048996-0-E,49984.5,49984.5,
20-1101-00-1049237-0-E,66000,66000,
20-1101-00-1049330-0-E,162000,162000,
20-1101-00-1049398-0-E,200000,200000,
20-1101-00-1050592-0-E,49984.5,49984.5,
20-1101-00-1050914-0-E,21960,21960,
20-1101-00-1051568-0-E,700000,700000,
20-1101-00-1051733-0-E,420000,420000,
20-1103-00-1044717-0-E,30250,30250,
20-1103-00-1063828-2-1,459200,459200,465000
20-1103-00-1063834-1-1,505041,505041,534870
20-1103-00-1093139-1-1,,34104,34104
20-1104-00-1078355-1-1,100000,100000,100000
20-1107-00-1070101-1-1,210160,210160,210805
20-1107-00-1079577-1-3,288652.76,288652.76,289871.25
20-1107-00-1079581-1-3,288887.82,288887.82,289871.25
20-1108-00-1051483-3-1,403680,403680,405000
20-1109-00-1053980-1-1,197880.99,197880.99,199175.53
20-1109-00-1063905-2-1,403680,403680,405000
20-1113-00-1065948-1-1,125970,125970,126107.5
20-1113-00-1090075-1-1,,49945,49945
20-1113-00-1095071-1-1,,49990,49990
20-1114-00-1061036-2-1,408900,408900,411000
20-1114-00-1088702-1-1,,34500,35000
20-1115-00-1045156-0-E,49500,49500,
20-1115-00-1046941-0-E,49875,49875,
20-1115-00-1074119-1-1,,46800,46800
20-1115-00-1077334-1-1,125800,125800,125925
20-1115-00-1080963-1-1,,49999.94,49999.94
20-1115-00-1083587-1-1,,47967.810000000005,47967.810000000005
20-1115-00-1088564-1-1,,49970.119999999995,49970.119999999995
20-1115-00-1094017-1-1,,49973.92,49973.92
20-1115-00-1094052-1-1,,49997.09,49997.09
20-1117-00-1067920-1-1,989133,989133,999000
20-1117-00-1096815-1-1,,42560,42560
20-1117-00-1097509-1-1,,187600,187600
20-1117-00-1097545-1-1,,231500,231500
20-1118-00-1044186-0-E,28800,28800,
20-1118-00-1075176-1-1,748133,748133,750000
20-1118-00-1083392-1-1,358200,358200,360000
20-1118-00-1086314-2-1,86138,86138,86755
20-1119-00-1040731-0-E,25000,25000,
20-1119-00-1044485-0-E,142280,138860,
20-1119-00-1052229-2-1,155250,155250,157950
20-1119-00-1057485-2-1,115500,115500,169800
20-1119-00-1078302-1-1,168400,168400,187400
20-1119-00-1082419-1-1,103141.14,,200000
20-1119-00-1088571-1-1,275000,275000,285000
20-1119-00-1089146-1-1,246105,246105,252125
20-1119-00-1092838-1-2,83759,,198500
20-1119-00-1094837-1-1,182000,182000,196000
20-1120-00-1040533-0-E,100520,100520,
20-1120-00-1040556-0-E,217140,217140,
20-1120-00-1040563-0-E,195000,195000,
20-1120-00-1042329-0-E,249864,249864,
20-1120-00-1042334-0-E,300000,300000,
20-1120-00-1042346-0-E,193100,193100,
20-1120-00-1042350-0-E,61864,61864,
20-1120-00-1045579-0-E,159250,159250,
20-1120-00-1053731-1-1,70000,70000,75000
20-1120-00-1076029-1-1,1032118,1032118,1079846
20-1120-00-1076103-1-1,1128996.9,1128996.9,1129621
20-1121-00-1052513-0-E,48819,48819,
20-1122-00-1090734-1-1,,44180,46352
20-1122-00-1094092-1-1,,48080,49462.3
20-1122-00-1094112-1-1,,26950,26950
20-1124-00-1048106-0-E,32100,32100,
20-1124-00-1048157-0-E,90539.4,90539.4,
20-1124-00-1048172-0-E,33700,33700,
20-1124-00-1048369-0-E,58500,58500,
20-1124-00-1048566-0-E,52250,52250,
20-1124-00-1050692-0-E,21060,21060,
20-1124-00-1051766-0-E,169500,169500,
20-1124-00-1051806-0-E,22000,22000,
20-1124-00-1074827-1-1,,360000,360000
20-1124-00-1079091-1-1,,75900,104710
20-1124-00-1079242-1-1,,37300,37300
20-1124-00-1081223-1-1,,41690,50075
20-1124-00-1089082-1-1,,20000,28000
20-1124-00-1095826-1-1,,25500,25500
20-1124-00-1098853-1-1,,300000,300000
20-1124-00-1101549-1-1,,35000,35000
20-1124-00-1101571-1-1,,65000,65000
20-1126-00-1056075-1-1,468420,468420,468420
20-1126-00-1056288-2-1,258394,258394,279994
20-1128-00-1076554-2-1,407856,407856,408000
20-1128-00-1085386-1-1,407856,407856,408000
20-1128-00-1085463-1-1,77170,77170,118305
20-1129-00-1057755-2-1,388745,388745,406000
20-1201-00-1036242-0-E,50000,50000,
20-1201-00-1036263-0-E,50000,50000,
20-1201-00-1038606-0-E,24000,24000,
20-1201-00-1038611-0-E,28800,28800,
20-1201-00-1038630-0-E,27100,27100,
20-1201-00-1038983-0-E,24310,,
20-1201-00-1039527-0-E,233298,233298,
20-1201-00-1039737-0-E,594844.8,594844.8,
20-1201-00-1040050-0-E,49930,49930,
20-1201-00-1040210-0-E,220350,,
20-1201-00-1040310-0-E,1204905,1204905,
20-1201-00-1040495-0-E,48246.5,48246.5,
20-1201-00-1040707-0-E,64611.3,64611.3,
20-1201-00-1041434-0-E,93187,93187,
20-1201-00-1041572-0-E,662085.9,662085.9,
20-1201-00-1042106-0-E,70140,70140,
20-1201-00-1042520-0-E,47000,,
20-1201-00-1042532-0-E,843897.6,843897.6,
20-1201-00-1042801-0-E,74448,74448,
20-1201-00-1043111-0-E,50000,50000,
20-1201-00-1043223-0-E,30000,30000,
20-1201-00-1043248-0-E,273000,273000,
20-1201-00-1043251-0-E,288000,288000,
20-1201-00-1043329-0-E,25852,25852,
20-1201-00-1044557-0-E,50000,50000,
20-1201-00-1045149-0-E,24000,24000,
20-1201-00-1046344-0-E,50000,50000,
20-1201-00-1046556-0-E,35350,,
20-1201-00-1046786-0-E,49500,,
20-1201-00-1048385-0-E,49720,,
20-1201-00-1048796-0-E,49350,,
20-1201-00-1049498-0-E,276444,,
20-1201-00-1050637-0-E,50000,50000,
20-1201-00-1052247-0-E,49500,,
20-1201-00-1052434-0-E,49995,,
20-1201-00-1052612-0-E,49986,,
20-1201-00-1065130-2-1,192690,163262.5,199950
20-1201-00-1071042-1-1,146548,146548,159072
20-1201-00-1079776-1-1,,49993,49993
20-1201-00-1081618-1-1,,107000,107000
20-1201-00-1082259-1-1,,50000,50000
20-1201-00-1084804-1-1,,50000,50000
20-1201-00-1085406-1-1,,33620,34000
20-1201-00-1085433-1-1,,30000,34000
20-1201-00-1086061-1-1,,50000,50000
20-1201-00-1086086-1-1,,50000,50000
20-1201-00-1086727-1-1,,50000,50000
20-1201-00-1086742-1-1,,50000,50000
20-1201-00-1086746-1-1,,29990,34000
20-1201-00-1087366-1-1,,45600,45600
20-1201-00-1087373-1-1,,30000,30000
20-1201-00-1087449-1-1,,223800,226200
20-1201-00-1087974-1-1,,49400,49400
20-1201-00-1087983-1-1,,27900,28000
20-1201-00-1088213-1-1,,49954.8,49954.8
20-1201-00-1088223-1-1,,49954.8,49954.8
20-1201-00-1088269-1-1,,49954.8,49954.8
20-1201-00-1088296-1-1,,49954.8,49954.8
20-1201-00-1088425-1-1,,49950,49950
20-1201-00-1088546-1-1,,49267,49267
20-1201-00-1088729-1-1,,30404,39930
20-1201-00-1089130-1-1,,35680,49952
20-1201-00-1089602-1-1,,45084,49954.840000000004
20-1201-00-1089627-1-1,,49954.840000000004,49954.840000000004
20-1201-00-1089674-1-1,,48000,50000
20-1201-00-1089684-1-1,,42731,42731
20-1201-00-1089687-1-1,,46875,50000
20-1201-00-1089694-1-1,,49856,49856
20-1201-00-1089744-1-1,,49660,49660
20-1201-00-1089746-1-1,,49980,49980
20-1201-00-1090316-1-1,,49950,49950
20-1201-00-1090319-1-1,,49950,49950
20-1201-00-1090708-1-1,,,49846
20-1201-00-1093668-1-1,,43945,45617
20-1201-00-1093753-1-1,,47100,49950
20-1201-18-1040587-0-E,171000,171000,
20-1201-18-1040870-0-E,30700,30700,
20-1201-18-1040878-0-E,27735,27735,
20-1201-18-1041025-0-E,49590,49590,
20-1201-18-1041120-0-E,115692,115692,
20-1201-18-1045209-0-E,115600,115600,
20-1202-00-1089788-1-1,,24920.67,111967.33
20-1202-00-1101710-1-1,,86822.45999999999,86822.45999999999
20-1204-00-1046089-0-E,49443,49443,
20-1204-00-1046102-0-E,49443,49443,
20-1204-00-1046111-0-E,49270,49270,
20-1204-00-1046116-0-E,49270,49270,
20-1204-00-1071782-1-1,125000,125000,140000
20-1205-00-1039379-0-E,46204.2,46204.2,
20-1205-00-1039563-0-E,24888,24888,
20-1205-00-1039574-0-E,21273.16,21273.16,
20-1205-00-1039780-0-E,3611560,3611560,
20-1205-00-1039912-0-E,5778481,5778481,
20-1205-00-1039918-0-E,1354350,1354350,
20-1205-00-1039921-0-E,5146473,5146473,
20-1205-00-1039925-0-E,4109052.3899999997,4109052.3899999997,
20-1205-00-1040480-0-E,3264625,3264625,
20-1205-00-1046832-0-E,142100,,
20-1205-00-1046847-0-E,90000,,
20-1205-00-1046853-0-E,1400000,1400000,
20-1205-00-1079573-1-2,,642000,642000
20-1205-00-1082433-1-1,,300000,300000
20-1205-00-1084820-1-1,,386300,386300
20-1205-00-1088454-1-1,,652110,652110
20-1205-00-1088482-1-1,,263272.8,263272.8
20-1205-00-1088510-1-1,,520855,520855
20-1205-00-1088530-1-1,,175770,175770
20-1205-00-1090637-1-1,,80000,80000
20-1205-00-1090713-1-1,,233800,280000
20-1205-00-1090746-1-1,,50350,87400
20-1205-00-1092438-1-1,,99000,99000
20-1205-00-1092571-1-1,,28000,28000
20-1205-00-1093762-1-1,,43900,43900
20-1205-00-1094142-1-1,,,559280
20-1205-00-1094153-1-1,,,440580
20-1205-00-1094164-1-2,,1704456,2000000
20-1205-00-1094719-1-1,,140000,274000
20-1205-00-1099135-1-1,,335000,405000
20-1205-00-1099152-1-1,,1275000,1350000
20-1205-00-1099508-1-1,,72000,90000
20-1205-00-1099532-1-1,,288400,288400
20-1205-00-1099538-1-1,,108000,108000
20-1205-00-1099549-1-1,,42000,42000
20-1205-00-1099614-1-1,,700000,700000
20-1205-00-1100061-1-1,,760000,808000
20-1206-00-1038581-0-E,25900,25900,
20-1206-00-1038599-0-E,46225,46225,
20-1206-00-1038818-0-E,20796.480000000003,20796.480000000003,
20-1206-00-1038823-0-E,49000,49000,
20-1206-00-1040229-0-E,44000,44000,
20-1206-00-1040264-0-E,42720,42720,
20-1206-00-1041294-0-E,24162,24162,
20-1206-00-1041332-0-E,37300,37300,
20-1206-00-1041878-0-E,34740,34740,
20-1206-00-1042080-0-E,202000,202000,
20-1206-00-1042098-0-E,125437.5,125437.5,
20-1206-00-1049028-0-E,45000,45000,
20-1206-00-1050727-0-E,25000,25000,
20-1206-00-1050987-0-E,31500,31500,
20-1206-00-1051950-0-E,139995,139995,
20-1206-00-1051959-0-E,96469,96469,
20-1206-00-1052120-0-E,272028,272028,
20-1206-00-1052316-0-E,47100,47100,
20-1206-00-1052339-0-E,22500,22500,
20-1206-00-1052348-0-E,27622,27622,
20-1206-00-1052389-0-E,47563,,
20-1206-00-1089600-1-2,,450000,450000
20-1206-00-1089664-1-1,,265628,265628
20-1206-00-1090669-1-1,,37660,37660
20-1206-00-1090735-2-1,,30000,30000
20-1206-00-1090749-1-1,,69953,69953
20-1206-00-1090761-1-1,,85993,85993
20-1206-00-1090877-1-1,,107944,107944
20-1206-00-1091679-1-1,,56500,56500
20-1206-00-1092751-1-1,,48880,48880
20-1206-00-1092776-1-1,,20056.5,21205
20-1206-00-1092788-1-1,,34761,36426
20-1206-00-1093902-1-1,,49987.5,49987.5
20-1206-00-1094070-1-1,,47000,47000
20-1206-00-1097808-1-1,,87651,87651
20-1207-00-1079941-1-1,630248,630248,649999
20-1207-00-1092111-1-1,340000,340000,340000
20-1208-00-1044037-0-E,49890,49890,
20-1208-00-1089519-1-1,430570,430570,433100
20-1208-00-1092028-1-1,636685,634285,649940
20-1211-00-1050012-0-E,84515,,
20-1211-00-1050031-0-E,76475,,
20-1211-00-1050058-0-E,45330,,
20-1211-00-1050230-0-E,74685,,
20-1211-00-1050253-0-E,178120,,
20-1214-00-1042980-0-E,48000,48000,
20-1214-00-1081342-1-1,181003.76,181003.76,183330
20-1215-00-1047834-0-E,99750,,
20-1215-00-1050525-0-E,204000,204000,
20-1215-00-1050547-0-E,425350,425350,
20-1215-00-1050549-0-E,27972,27972,
20-1218-00-1040721-0-E,35822.5,35822.5,
20-1218-00-1089570-1-1,233100,233100,252000
20-1218-00-1089639-1-1,209160,209160,210000
20-1218-00-1092145-1-1,,27841.1,27841.1
